item_id,participant_id,task_id,stage,comment
I002,P013,T3_transfer_D04,T3,交流未说明对象、方式和可见动作，仍需追问原意。
I004,P002,T1_early_C02,T1,现有两人画面却写三人扭打，第三人来源不明。
I005,P017,T1_early_A03,T1,中弹事件夹杂不够真实的评价，下一镜意图不稳定。
I019,P016,T3_transfer_D06,T3,仅有人数性别，构不成可执行的下一镜。
I021,P008,T3_transfer_C04,T3,三人场面未标明哪两人面朝大海喊。
I025,P014,T1_early_C04,T1,三人场面未标明哪两人亲吻。
I028,P018,T1_early_C03,T1,全是防穿模与保脸约束，没有下一镜内容。
I035,P013,T1_early_A05,T1,其乐融融聊天是气氛而不是可画动作。
I040,P020,T1_early_D02,T1,单字吵架，对象与可见行为都缺。
I046,P007,T1_middle_A04,T1,同归于尽未给出可见过程。
I049,P013,T3_transfer_E03,T3,关键角色未指定是谁。
I050,P017,T3_transfer_D06,T3,大明星来了停留在口号，形象与走位皆空。
I056,P007,T1_middle_E01,T1,穿衣原地睡觉与空舞台对不上，原意不清。
I092,P013,T2_middle_D05,T2,只要求人物A露脸，没有下一镜事件。
I099,P014,T2_middle_D03,T2,只有形容词，没有可拍内容。
I109,P020,T2_middle_E01,T2,穿衣拿咖啡拿手机缺少主体与场面。
I110,P013,T1_early_C04,T1,会有一些争执是猜测语气，画面不确定。
I116,P004,T2_middle_D05,T2,只剩人数和镜子道具，构图事件皆空。
